file_path,Name,full_name,Start Line,End Line,Comment,Pre_Comment,child Name,domain,inner_method
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/Loader.java,<init>,org.apache.pdfbox.Loader:<init>(),45,47,"/**
* Default constructor for Loader class.",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/contentstream/operator/OperatorName.java,<init>,org.apache.pdfbox.contentstream.operator.OperatorName:<init>(),114,116,"/**
 * Initializes an empty OperatorName object.",* private constructor,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/contentstream/operator/OperatorProcessor.java,<init>,org.apache.pdfbox.contentstream.operator.OperatorProcessor:<init>(org.apache.pdfbox.contentstream.PDFStreamEngine),40,43,"/**
 * Initializes an OperatorProcessor instance with a given PDFStreamEngine context. 
 * @param context reference to the engine processing the PDF document","* Creates a new OperatorProcessor.
     * 
     * @param context the processing context to be used",nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/cos/COSBase.java,<init>,org.apache.pdfbox.cos.COSBase:<init>(),37,39,"/**
* Initializes a new COSBase object.",* Constructor.,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/cos/COSDocumentState.java,<init>,org.apache.pdfbox.cos.COSDocumentState:<init>(),25,36,"/**
* Indicates whether the document is being parsed or has completed parsing.
* @see #parse()",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/cos/COSUpdateState.java,<init>,org.apache.pdfbox.cos.COSUpdateState:<init>(org.apache.pdfbox.cos.COSUpdateInfo),53,56,"/**
* Initializes COSUpdateState with provided update information.
* @param updateInfo COSUpdateInfo object containing update details
*/","* Creates a new {@link COSUpdateState} for the given {@link COSUpdateInfo}.
     *
     * @param updateInfo The {@link COSUpdateInfo}, that shall be managed by this {@link COSUpdateState}.",nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/cos/PDFDocEncoding.java,<init>,org.apache.pdfbox.cos.PDFDocEncoding:<init>(),108,110,"/**
 * Constructs an empty PDFDocEncoding instance.",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/CCITTFaxDecoderStream.java,<init>,org.apache.pdfbox.filter.CCITTFaxDecoderStream$Node:<init>(),496,504,"/**
* Represents a node in a binary tree structure.
*/",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/CCITTFaxEncoderStream.java,<init>,"org.apache.pdfbox.filter.CCITTFaxEncoderStream$Code:<init>(int,int)",272,275,"/**
 * Initializes a new instance of Code with specified numeric value and length. 
 * @param code Numeric value of the code
 * @param length Length of the code
 */",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/DecodeOptions.java,<init>,org.apache.pdfbox.filter.DecodeOptions:<init>(),44,47,"/**
* No-argument constructor for creating instances of DecodeOptions. 
* This class should be initialized through other means (e.g., setters). 
*/",* Constructs an empty DecodeOptions instance,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/DecodeOptions.java,<init>,org.apache.pdfbox.filter.DecodeOptions:<init>(java.awt.Rectangle),55,58,"/**
* Initializes DecodeOptions with specified source region.
* @param sourceRegion rectangle defining decoding area
*/","* Constructs an instance specifying the region of the image that should be decoded. The actual
     * region will be clipped to the dimensions of the image.
     *
     * @param sourceRegion Region of the source image that should be decoded",nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/DecodeOptions.java,<init>,org.apache.pdfbox.filter.DecodeOptions:<init>(int),81,85,"/**
* Sets subsampling factor for both X and Y axes.
* @param subsampling factor to apply (e.g. 1, 2, etc.)
*/","* Constructs an instance specifying the image should be decoded using subsampling. The
     * subsampling will be the same for the X and Y axes.
     *
     * @param subsampling The number of rows and columns to advance in the source for each pixel in
     * the decoded image.",nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/DecodeResult.java,<init>,org.apache.pdfbox.filter.DecodeResult:<init>(org.apache.pdfbox.cos.COSDictionary),36,39,"/**
* Initializes a new DecodeResult instance with the provided dictionary of parameters.
* @param parameters COSDictionary containing decoding result data
*/",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/DecodeResult.java,<init>,"org.apache.pdfbox.filter.DecodeResult:<init>(org.apache.pdfbox.cos.COSDictionary,org.apache.pdfbox.pdmodel.graphics.color.PDJPXColorSpace)",41,45,"/**
* Initializes a new instance of DecodeResult with given COS dictionary and color space.
* @param parameters COS dictionary containing decoding parameters
* @param colorSpace Color space used for decoding
*/",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/Filter.java,<init>,org.apache.pdfbox.filter.Filter:<init>(),66,68,"/**
* Initializes a new instance of the Filter class.",* Constructor.,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/filter/Predictor.java,<init>,org.apache.pdfbox.filter.Predictor:<init>(),33,35,"/**
* Initializes a new instance of the Predictor class.",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/multipdf/Overlay.java,<init>,"org.apache.pdfbox.multipdf.Overlay$LayoutPage:<init>(org.apache.pdfbox.pdmodel.common.PDRectangle,org.apache.pdfbox.cos.COSStream,org.apache.pdfbox.cos.COSDictionary,short)",289,295,"/**
* Initializes a new LayoutPage instance with specified parameters.
* @param mediaBox the media box rectangle
* @param contentStream the content stream
* @param resources the resources dictionary
* @param rotation the page rotation (in degrees) 
*/",nan,nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/multipdf/PageExtractor.java,<init>,"org.apache.pdfbox.multipdf.PageExtractor:<init>(org.apache.pdfbox.pdmodel.PDDocument,int,int)",54,59,"/**
* Initializes a new instance of PageExtractor with the specified document and page range.
* @param sourceDocument PDDocument to extract pages from
* @param startPage starting page index (inclusive)
* @param endPage ending page index (inclusive)","* Creates a new instance of PageExtractor
     * @param sourceDocument The document to split.
     * @param startPage The first page you want extracted (1-based, inclusive)
     * @param endPage The last page you want extracted (1-based, inclusive)",nan,,True
/home/yfx/codecomment/codecomment/project/java/org/apache/pdfbox/multipdf/Splitter.java,<init>,"org.apache.pdfbox.multipdf.Splitter$KCloner:<init>(org.apache.pdfbox.multipdf.Splitter,org.apache.pdfbox.pdmodel.PDPageTree)",359,362,"/**
 * Initializes a new KCloner instance with the specified destination page tree.",nan,nan,,True
